761472876755189760,,None,"Düsseldorf, Germany","Wir zelten, es regnet und ich lese die Lemmy-Autobiographie. Ein klein wenig Wacken-Feeling in Südtirol."
761472828369666048,,None,am falschen Ort,"RT @MickyBeisenherz: Festivalsommer #2016 : Sollte in #Wacken der Blitz einschlagen, läge der bundesweite IT- Support auf Jahre brach."
761472773004877824,,None,Hamburg,"RT @MickyBeisenherz: Festivalsommer #2016 : Sollte in #Wacken der Blitz einschlagen, läge der bundesweite IT- Support auf Jahre brach."
761472663512576000,,None,,"RT @MickyBeisenherz: Festivalsommer #2016 : Sollte in #Wacken der Blitz einschlagen, läge der bundesweite IT- Support auf Jahre brach."
761471888703033344,,None,Lauchhammer,Musik - Wacken rockt: Zehntausende feiern ersten Festivaltag https://t.co/kUWbK88dCX
761471085716078592,,None,"Berlin, Deutschland",RT @dw_kultur: Wacken 2016: Unsere rasende Festival-Reporterin @die_wuensch berichtet vom ersten Tag. https://t.co/Od3E3yJITJ https://t.co/…
761470793717059584,,None,"Essen, Nordrhein-Westfalen","RT @aktuelle_stunde: Matschalarm nicht nur in #Wacken sondern auch bei #NatureOne - Hilfe für den ""Freund und Helfer""  :-) https://t.co/qXg…"
761470642134933504,,None,,RT @forstermusic: Läuft. #wacken #betriebsausflug @ Wacken Open Air https://t.co/HvAQl8Jex0
761470466297040896,,None,Deutschland,"RT @OXMOXHH: Wacken Open Air
Tag 1 mit u. a. #ironmaiden und #whitesnake"
761470280371961857,,None,Germany,RT @die_wuensch: Whhhoooaaaa! Iron Maiden auf der Bühne! Ganz Wacken ist hier. #WOA2016 https://t.co/BdQU1K8Ob9
761470126826909696,,None,,"RT @aktuelle_stunde: Matschalarm nicht nur in #Wacken sondern auch bei #NatureOne - Hilfe für den ""Freund und Helfer""  :-) https://t.co/qXg…"
761470016424448000,,None,"Zürich, Schweiz",RT @Erzbistum_Koeln: #Weltjugendtag vs. #Wacken - Wo ist der Unterschied? https://t.co/6TyOkTHZak
761469577159073792,,None,Hamburg,"Wacken Open Air
Tag 1 mit u. a. #ironmaiden und #whitesnake"
761469168168398848,,None,"Bonn, Nordrhein-Westfalen",Whhhoooaaaa! Iron Maiden auf der Bühne! Ganz Wacken ist hier. #WOA2016 https://t.co/BdQU1K8Ob9
761468834654064640,,None,"Hessen, Deutschland","@Schlumpfkanone ist nicht diese Woche die härteste, ich meine Wacken und so..:)"
761468185140928513,,None,Deutschland,"""Dreieinhalb komplett nackte Wacken-Besucher/innen: Video sorgt für Verwunderung""

Dreieinhalb?! Wat? Lack?"
761467784924655616,,None,Deutschland,"Wacken Live: Live in Wacken 2015: Die erste Live-DVD der Pulveraffen, 2015 in Wacken gefilmt. Eine großartige Part &gt;&gt;https://t.co/TBDzKrFCF2"
761467700241661952,,None,,RT @Erzbistum_Koeln: #Weltjugendtag vs. #Wacken - Wo ist der Unterschied? https://t.co/6TyOkTHZak
761466406105968640,,None,Widen AG (Schweiz),"RT @absinthium_: Auf Wacken zeige ich mich ja gerne von meiner sportlichen Seite, ich mache jede Menge Half-Liter-Arm-Curls."
761466030397030400,,None,Paderborn,RT @Erzbistum_Koeln: #Weltjugendtag vs. #Wacken - Wo ist der Unterschied? https://t.co/6TyOkTHZak
761465713341108224,,None,"Berlin, Deutschland",Wäre jetzt auch gerne auf #Wacken ! \m/
761465427419627520,,None,Termina,RT @heuteshow: #Wacken geht los! Die #AfD jubelt: endlich eine größere Schlammschlacht als die Fraktionsbildung in BaWü.
761464364671066114,,None,Nordrhein-Westfalen,"@dieserOskar habe ich mich verguckt, oder bist du auf @Wacken? :D"
761464283624509440,,None,Hamburg,"Guck mal, #wacken ohne Musik. #woa #inmudwetrust https://t.co/bdEQMrFhCA"
761464110286528513,,None,Hamburg,Über 80.000 Metal-Heads aus aller Welt erwartet Wacken startet https://t.co/8pjKHHGYp3
761463301968715776,,None,Berlin,"RT @MickyBeisenherz: Festivalsommer #2016 : Sollte in #Wacken der Blitz einschlagen, läge der bundesweite IT- Support auf Jahre brach."
761462443059150849,,None,Global village,RT @Erzbistum_Koeln: #Weltjugendtag vs. #Wacken - Wo ist der Unterschied? https://t.co/6TyOkTHZak
761461583587446784,,None,Germany,"@tre_bol Und ich bin nochmal 9 Jahre älter als @Fischblog... Nee, nee, Wacken &amp; ich - das wird in diesem Leben nix mehr. *g*"
761461252552028160,,None,Düsseldorf / Germany,Guten Morgen #Wacken!
761460799009386496,,None,"Gießen, Oberhessen",RT @UprightBassist: Die Stimme kenne ich doch! @schaarsen bei Deutschland heute - Wacken Open Air 2016 - die Heavy Metal Party im Norden ht…
761460036610756608,,None,Kiel,RT @UprightBassist: Die Stimme kenne ich doch! @schaarsen bei Deutschland heute - Wacken Open Air 2016 - die Heavy Metal Party im Norden ht…
